"","X","subject","timestamp","male","alpha","condition","ospan.total","rotspan.total","symspan.total","test1","test2","iq"
"4",4,68086,"10/12/2015 17:02:50",0,0.327111538461538,"slimstampen",56,29,NA,21,18,-0.16437456
"5",5,68752,"10/12/2015 17:02:52",0,0.299574285714286,"slimstampen",59,31,25,32,26,-1.893223242
"6",6,68614,"10/12/2015 17:02:55",0,0.293325,"slimstampen",43,29,27,24,14,-1.775133882
"8",8,68464,"10/12/2015 17:03:02",1,0.340056,"slimstampen",64,27,37,18,12,-0.103597704
"10",10,68476,"10/12/2015 17:03:15",0,0.20442,"slimstampen",60,31,20,35,35,-0.758540736
"11",11,68392,"10/12/2015 17:03:22",0,0.245931428571429,"slimstampen",57,36,32,35,35,-0.535961502
"15",15,68506,"10/12/2015 17:04:07",0,0.341444,"slimstampen",55,19,26,25,16,-0.331938162
"17",17,68350,"10/19/2015 17:05:22",0,0.199034285714286,"slimstampen",62,37,32,35,32,-1.797537906
"21",21,68554,"10/19/2015 17:05:55",1,0.337752,"slimstampen",65,37,41,22,18,0.688026186
"23",23,68362,"10/19/2015 17:06:08",0,0.261714285714286,"slimstampen",61,30,37,35,29,-0.798334002
"24",24,68134,"10/19/2015 17:06:13",0,0.185634285714286,"slimstampen",64,27,42,35,34,0.743002902
"25",25,68434,"10/19/2015 17:06:16",0,0.297354545454545,"slimstampen",45,19,29,13,NA,NA
"26",26,68440,"10/19/2015 17:06:29",1,0.3040125,"slimstampen",65,20,30,19,11,-0.660541968
"28",28,68242,"10/19/2015 17:14:21",1,0.356730434782609,"slimstampen",61,36,36,12,12,0.753648498
"31",31,68206,"11/9/2015 15:03:14",0,0.237791428571429,"slimstampen",46,10,29,35,32,-1.514798676
"32",32,68680,"11/9/2015 15:03:30",1,0.304387096774194,"slimstampen",69,33,37,27,20,0.287126388
"33",33,68062,"11/9/2015 15:03:33",1,0.326182352941176,"slimstampen",63,33,34,24,16,0.2937537
"35",35,68578,"11/9/2015 17:29:57",0,0.264105714285714,"slimstampen",39,25,18,34,27,-0.606762126
"36",36,68314,"11/9/2015 17:29:59",1,0.324596428571429,"slimstampen",43,21,28,20,18,-1.19497788
"37",37,68446,"11/9/2015 17:30:22",0,0.210368571428571,"slimstampen",58,39,33,35,25,-0.481447224
"39",39,68452,"11/16/2015 15:02:49",0,0.266125714285714,"slimstampen",49,29,24,30,24,-2.068545618
"40",40,68416,"11/16/2015 15:03:12",0,0.290832352941176,"slimstampen",68,31,37,34,29,-0.690538752
"42",42,68530,"11/16/2015 15:03:27",0,0.235391428571429,"slimstampen",65,36,35,33,27,0.196329978
"46",46,68470,"11/16/2015 15:03:52",0,0.40449375,"slimstampen",57,17,23,9,4,-2.846391174
"50",50,68284,"11/16/2015 15:13:02",1,0.271577142857143,"slimstampen",69,39,39,33,26,1.04519061
"52",52,68368,"11/16/2015 15:15:07",0,0.278342857142857,"slimstampen",56,32,30,32,21,-1.661018508
"54",54,68650,"11/23/2015 15:07:32",0,0.290508571428571,"slimstampen",72,40,34,33,25,-0.482752566
"57",57,68260,"11/23/2015 15:07:38",0,0.295311428571429,"slimstampen",54,20,17,29,18,-1.608311754
"58",58,68734,"11/23/2015 15:07:42",0,0.330214705882353,"slimstampen",68,40,39,22,15,-0.1239102
"60",60,68374,"11/23/2015 15:08:21",1,0.26264,"slimstampen",70,40,39,35,32,0.860485338
"64",64,68170,"11/30/2015 15:02:28",1,0.309020588235294,"slimstampen",58,24,34,24,24,-1.289627802
"67",67,68278,"11/30/2015 15:06:00",1,0.230277142857143,"slimstampen",50,30,35,35,35,NA
"68",68,68200,"12/7/2015 15:02:38",0,0.317825714285714,"slimstampen",47,21,28,23,14,-2.387558286
"72",72,68542,"12/7/2015 15:03:38",0,0.271845714285714,"slimstampen",56,24,28,33,28,-0.388304262
"77",77,68596,"12/14/2015 15:05:59",0,0.307455555555556,"slimstampen",69,38,39,20,19,-0.312032214
"78",78,68140,"12/14/2015 15:06:05",0,0.3324,"slimstampen",60,22,27,20,14,-0.391179906
"79",79,68548,"12/14/2015 15:06:06",0,0.287848571428571,"slimstampen",73,27,40,34,27,NA
"80",80,68338,"12/14/2015 15:08:11",0,0.337032,"slimstampen",46,22,14,16,12,-1.649140848
"82",82,68164,"1/4/2016 15:03:29",0,0.309176470588235,"slimstampen",62,27,40,30,19,NA
"83",83,68458,"1/4/2016 15:03:41",1,0.284654285714286,"slimstampen",68,28,33,33,16,-0.353357694
"87",87,68638,"1/4/2016 15:07:14",1,0.263122857142857,"slimstampen",72,26,26,35,33,-1.619778312
"88",88,68344,"1/4/2016 15:08:12",1,0.260605714285714,"slimstampen",75,34,35,35,27,1.22299326
