"","timestamp","subj","yob","gender","native","Swahili","age"
"4","10/12/2015 17:02:50",68086,1996,"female","Ja.","Nee.",19
"5","10/12/2015 17:02:52",68752,1996,"female","Ja.","Nee.",19
"6","10/12/2015 17:02:55",68614,1996,"female","Ja.","Nee.",19
"8","10/12/2015 17:03:02",68464,1991,"male","Ja.","Nee.",24
"10","10/12/2015 17:03:15",68476,1996,"female","Ja.","Nee.",19
"11","10/12/2015 17:03:22",68392,1997,"female","Ja.","Nee.",18
"15","10/12/2015 17:04:07",68506,1996,"female","Ja.","Nee.",19
"17","10/19/2015 17:05:22",68350,1996,"female","Ja.","Nee.",19
"21","10/19/2015 17:05:55",68554,1995,"male","Ja.","Nee.",20
"23","10/19/2015 17:06:08",68362,1996,"female","Ja.","Nee.",19
"24","10/19/2015 17:06:13",68134,1995,"female","Ja.","Nee.",20
"25","10/19/2015 17:06:16",68434,1995,"female","Ja.","Nee.",20
"26","10/19/2015 17:06:29",68440,1993,"male","Ja.","Nee.",22
"28","10/19/2015 17:14:21",68242,1995,"male","Ja.","Nee.",20
"31","11/9/2015 15:03:14",68206,1996,"female","Ja.","Nee.",19
"32","11/9/2015 15:03:30",68680,1994,"male","Ja.","Nee.",21
"33","11/9/2015 15:03:33",68062,1996,"male","Ja.","Nee.",19
"35","11/9/2015 17:29:57",68578,1994,"female","Ja.","Nee.",21
"36","11/9/2015 17:29:59",68314,1996,"male","Ja.","Nee.",19
"37","11/9/2015 17:30:22",68446,1997,"female","Ja.","Nee.",18
"39","11/16/2015 15:02:49",68452,1997,"female","Ja.","Nee.",18
"40","11/16/2015 15:03:12",68416,1997,"female","Ja.","Nee.",18
"42","11/16/2015 15:03:27",68530,1997,"female","Ja.","Nee.",18
"46","11/16/2015 15:03:52",68470,1996,"female","Nee.","Nee.",19
"50","11/16/2015 15:13:02",68284,1998,"male","Ja.","Nee.",17
"52","11/16/2015 15:15:07",68368,1997,"female","Ja.","Nee.",18
"54","11/23/2015 15:07:32",68650,1997,"female","Ja.","Nee.",18
"57","11/23/2015 15:07:38",68260,1996,"female","Ja.","Nee.",19
"58","11/23/2015 15:07:42",68734,1997,"female","Ja.","Nee.",18
"60","11/23/2015 15:08:21",68374,1997,"male","Nee.","Nee.",18
"64","11/30/2015 15:02:28",68170,1993,"male","Ja.","Nee.",22
"67","11/30/2015 15:06:00",68278,1996,"male","Ja.","Nee.",19
"68","12/7/2015 15:02:38",68200,1996,"female","Ja.","Nee.",19
"72","12/7/2015 15:03:38",68542,1997,"female","Ja.","Nee.",18
"77","12/14/2015 15:05:59",68596,1996,"female","Ja.","Nee.",19
"78","12/14/2015 15:06:05",68140,1996,"female","Ja.","Nee.",19
"79","12/14/2015 15:06:06",68548,1997,"female","Ja.","Nee.",18
"80","12/14/2015 15:08:11",68338,1997,"female","Ja.","Nee.",18
"82","1/4/2016 15:03:29",68164,1997,"female","Ja.","Nee.",18
"83","1/4/2016 15:03:41",68458,1997,"male","Ja.","Nee.",18
"87","1/4/2016 15:07:14",68638,1997,"male","Ja.","Nee.",18
"88","1/4/2016 15:08:12",68344,1996,"male","Ja.","Nee.",19
